,Series Name,Country Name,CountryCode,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
62,GDP (current US$),Estonia,EST,5694069842.43988,6259258257.98944,7372457191.29698,9877636517.61518,12144397515.528,14098326327.5712,17012321791.4942,22445582945.5242,24371299985.3523,19744110447.3465,19685033799.4182,23394843529.0691,23192709238.817,25271407238.6622,26773472961.8253,23048864242.6072,23996451497.6139
63,GDP (current US$),Ethiopia,ETH,8242392103.68061,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64589334978.8013,74296618481.0882
64,GDP (current US$),Faroe Islands,FRO,1058702725.4395,1147654635.45922,1262669892.4595,1494011567.01125,1688237552.36935,1727792692.89133,1984445416.02206,2290133548.87301,2432415998.11695,2268387770.71014,2320424601.26954,2490807830.57351,2366301251.61847,2627049837.08135,2850743875.2784,2518096285.61661,2689157270.82312
65,GDP (current US$),Fiji,FJI,1684109743.49338,1660102345.60309,1842691481.09196,2315935752.71653,2727507212.92556,3006725014.78415,3102741451.01664,3405050611.68726,3523185919.55826,2870624635.68032,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4856963229.83999,4682546863.08162,4930204219.71304
66,GDP (current US$),Finland,FIN,125706651925.557,129421029082.774,139738377564.465,171274266365.688,197116960516.514,204809103345.355,216907539831.891,256052559540.104,284553976856.599,252496526813.004,249181190476.369,275243697751.011,258304834621.605,271285280621.373,274497230802.958,234585368746.272,240570297852.344
67,GDP (current US$),France,FRA,1362248940482.77,1376465324384.79,1494286655373.61,1840480812641.08,2115742488204.62,2196126103718.44,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72
68,GDP (current US$),French Polynesia,PYF,3447543137.9415,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
69,GDP (current US$),Gabon,GAB,5067865320.7979,5018874179.18704,5310381151.35952,6497305662.09274,7756293574.98077,9578973591.00958,10318424464.3377,12438956756.4455,15508574820.3516,12065138272.7538,14358584300.3006,18186478119.9582,17171447372.3334,17590745162.1326,18179752009.7489,14377324797.637,14014369641.7689
70,GDP (current US$),"Gambia, The",GMB,782915402.421095,687408804.630527,578236035.104279,487038821.611959,961900106.892751,1027702254.38664,1054113426.70947,1279704744.82781,1561763437.0325,1450140385.97229,1543292392.54605,1409694553.90934,1415006238.09509,1375608956.10386,1229460601.92174,1378176868.31568,1467255923.49024
71,GDP (current US$),Georgia,GEO,3057475288.78105,3219488663.77231,3395728013.84524,3991284895.37214,5125365191.98664,6410823633.25426,7745394293.41721,10172882370.5477,12795076469.0099,10766836276.5639,12243505582.6741,15107441446.7833,16488403076.3641,17189491403.1502,17627060089.4829,14953950557.4406,15141758566.7808
72,GDP (current US$),Germany,DEU,1943145384190.16,1944107382550.34,2068624129493.69,2496128668171.56,2809187981127.39,2845802760850.64,2992196713084.93,3421229126745.14,3730027830672.33,3397791053070.3,3396354075663.73,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3360549973888.58,3466790065011.83
73,GDP (current US$),Ghana,GHA,4983024408.14828,5314909953.92992,6166330136.2948,7632406552.83803,8881368538.07671,10731634116.7384,20409668521.5494,24758819717.7074,28526891010.4925,25977847813.7422,32174772955.9748,39566292432.8615,41939728978.7281,63277216928.5093,53601126663.9079,49181854798.2552,55009730600.0307
74,GDP (current US$),Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
75,GDP (current US$),Greece,GRC,130133845771.144,136191353467.562,153830947016.751,201924270316.027,240521260988.329,247783001865.44,273317737046.795,318497936901.177,354460802548.704,330000252153.376,299361576558.217,287797822093.178,245670666639.047,239862011450.103,237029579260.722,196591353761.226,195222443512.937
76,GDP (current US$),Greenland,GRL,1068030829.75591,1086172922.57413,1169138789.31435,1558753434.43083,1822486688.58807,1849805732.96203,2013099482.07439,2249811708.94796,2499107510.64122,2529948329.57153,2503156060.52524,2684467375.71479,2609667673.71601,2684952726.88425,2842048997.77283,2499115623.00272,2707146783.13056
77,GDP (current US$),Grenada,GRD,520044370.37037,520444185.185185,540336925.925926,591018407.407407,599118592.592593,695370296.296296,698700666.666667,758683592.592593,825976037.037037,771275555.555555,771013259.259259,778655925.925926,799882259.259259,842620111.111111,911497407.407407,997007925.925926,1061631222.22222
78,GDP (current US$),Guam,GUM,..,..,3385000000,3560000000,3857000000,4197000000,4213000000,4375000000,4621000000,4781000000,4895000000,4928000000,5199000000,5336000000,5538000000,5710000000,5795000000
79,GDP (current US$),Guatemala,GTM,19288827158.9035,18702802522.0777,20776403774.1156,21917430694.2538,23965275794.3749,27211377107.3763,30231249625.1282,34113107372.317,39136436613.7566,37733609794.6481,41338008612.7727,47654783851.8252,50388460924.7345,53851153446.6959,58722323918.1604,63767597193.9175,68663649521.7042
80,GDP (current US$),Guinea,GIN,2995360969.16199,2833442750.43639,2949637039.04424,3446442218.89829,3666349049.42641,2937071767.25576,4220019242.74824,6281917655.90249,6964179193.84418,6716904568.76482,6853467857.61127,6785137172.77058,7638045254.42864,8376613843.27265,8778473614.54728,8794202443.67366,8603833218.24226
81,GDP (current US$),Guinea-Bissau,GNB,370173838.651652,392278168.199897,415843481.998691,476388260.639232,531109356.165462,586795675.416201,591839470.665059,695990208.376629,864654795.287148,826798659.766283,849050127.504407,1098379391.95039,989327811.785114,1045790132.98518,1053512334.17271,1047808175.00057,1178204501.38801
82,GDP (current US$),Guyana,GUY,712667896.727512,712167575.624277,726131434.715338,743064076.794566,787814379.183843,824880550.343965,1458453715.32702,1740180444.25731,1916994911.93238,2061323853.88576,2273225041.96217,2576024115.57832,2861562265.88301,2987684170.24434,3077643313.70623,3197220338.98305,3504024213.07506
83,GDP (current US$),Haiti,HTI,3953846310.66081,3596443004.56165,3472191962.42287,2960306120.93557,3537720277.49988,4310358095.62898,4756204069.61876,5885325589.97642,6548530572.35291,6584649419.28348,6622541528.56888,7516834160.25277,7890647021.75659,8485077205.26002,8775444941.93681,8724656126.49849,7970649131.23416
84,GDP (current US$),Honduras,HND,7103507989.05044,7565869927.73763,7775078402.92785,8140271080.5604,8772146604.82093,9672035709.39793,10841742347.7968,12275501784.2971,13789715132.502,14587496229.1811,15839344591.9842,17710315005.9999,18528601901.324,18499710127.8385,19756494434.7031,20979767785.2104,21717622071.3816
85,GDP (current US$),"Hong Kong SAR, China",HKG,171668164082.555,169403241524.337,166349228737.386,161384522525.299,169099768875.193,181570082162.19,193536265094.364,211597405593.868,219279678430.164,214046415026.187,228637697575.04,248513617677.287,262629441493.476,275696879834.966,291459356985.337,309383627028.561,320860698504.309
86,GDP (current US$),Hungary,HUN,47218405892.4258,53749989092.0197,67608919144.3684,85302003908.042,103960017914.058,112980947728.383,115577256523.599,139966001509.592,158136326477.965,130760312876.683,131135561228.374,141109576981.423,128153691809.347,135409048034.154,140558786480.464,124529741437.176,127507473625.632
87,GDP (current US$),Iceland,ISL,9003639475.42485,8205357164.41227,9294651863.31914,11414054860.577,13834751482.0128,16812529923.7715,17216417442.2912,21514962936.5389,17905251832.0506,13164652894.2464,13683689802.2771,15158548597.3876,14724078264.24,16033517529.2506,17758089312.4856,17344165907.2129,20716024757.4057
88,GDP (current US$),India,IND,468394937262.37,485441014538.638,514937948870.08,607699285433.872,709148514804.66,820381595512.902,940259888792.141,1216735441524.86,1198895582137.51,1341886602798.69,1675615335600.56,1823050405350.42,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2290432075123.75
